student_id,attendance_percentage,internal_marks,backlogs,family_income,dropout_risk
1,58,48,0,36839,High
2,92,59,3,62690,High
3,78,68,5,60567,High
4,67,84,4,61899,High
5,58,60,0,21318,High
6,58,97,4,68381,High
7,96,34,3,28421,High
8,73,85,1,57663,Medium
9,40,47,0,77319,High
10,46,36,2,70119,High
11,100,44,5,46526,High
12,91,61,1,34471,Low
13,53,82,3,22303,High
14,52,58,0,55097,High
15,41,47,2,63356,High
16,81,90,3,31840,High
17,92,67,5,16656,High
18,87,38,0,43393,High
19,61,74,1,24985,Medium
20,59,44,3,48034,High
21,85,84,4,36566,High
22,66,66,0,37158,Medium
23,96,97,4,34476,High
24,52,75,4,13394,High
25,96,33,1,70335,High
26,55,47,2,43328,High
27,58,41,1,42446,High
28,75,43,2,24779,High
29,50,58,1,11801,High
30,49,93,0,53644,High
31,88,72,2,10165,Low
32,63,76,0,52935,Medium
33,49,98,1,55661,High
34,40,78,2,73972,High
35,86,41,1,46587,High
36,92,33,1,71119,High
37,69,32,2,22872,High
38,77,56,4,66725,High
39,40,32,2,21385,High
40,79,87,3,14748,High
41,70,51,5,10386,High
42,45,48,1,48538,High
43,100,33,1,46434,High
44,49,62,2,47144,High
45,54,93,0,48673,High
46,72,50,2,40071,Medium
47,59,92,5,59676,High
48,78,58,3,76218,High
49,56,64,4,78335,High
50,89,77,1,27134,Low
51,64,100,4,42863,High
52,48,62,5,29667,High
53,51,95,4,72283,High
54,44,71,1,66345,High
55,61,52,5,51167,High
56,41,88,0,56639,High
57,61,86,0,72441,Medium
58,85,80,5,38994,High
59,70,96,2,17104,Medium
60,47,61,4,50496,High
61,72,97,0,73196,Medium
62,68,55,4,35311,High
63,84,46,3,75759,High
64,55,94,5,19627,High
65,94,72,0,29009,Low
66,93,89,5,12433,High
67,87,61,4,41302,High
68,43,74,3,20605,High
69,93,60,0,17725,Low
70,64,86,0,52759,Medium
71,66,99,0,72975,Medium
72,44,33,2,40680,High
73,40,73,5,49299,High
74,100,87,0,46488,Low
75,54,81,4,15638,High
76,79,87,0,73707,Low
77,89,71,5,24263,High
78,45,78,2,61191,High
79,99,92,4,21783,High
80,50,89,3,70886,High
81,79,45,3,28104,High
82,71,82,1,46150,Medium
83,58,84,1,22536,High
84,49,60,4,12313,High
